year|arid|count
2005|748-1197207|41
2005|763-1246790|41
2005|338-3589255|41
2005|77885300000|41
2005|130-0230890|41
2005|20001844920|41
2005|71256700000|40
2005|40133222578|40
2005|71393900005|40
2005|722-3397885|39
2005|71437800009|38
2005|77801700003|38
2005|20001844966|38
2005|71564400004|38
2005|10000005001|38
2005|30000010450|38
2005|71244600009|37
2005|40000007547|37
2005|71033500006|37
2005|72033300001|36
2005|71660600004|36
2005|30000010307|36
2005|40061104540|36
2005|71405200006|36
2005|77952800005|36
2005|10000014124|35
2005|50000065788|34
2005|50000008667|34
2005|77087500006|34
2005|71093000000|33
2005|77343000001|33
2005|77844700005|33
2005|784-1560607|32
2005|71213900000|32
2005|77395000008|32
2005|77697500006|31
2005|71390800005|31
2005|71598200002|31
2005|72033000009|31
2005|40640713034|31
2005|30000026870|30
2005|741-1922395|30
2005|20002861595|30
2005|50000008116|30
2005|30000016889|29
2005|72022700000|29
2005|77006300002|29
2005|10000005203|29
2005|20002736291|29
2005|722-3549919|29
2005|77503100002|29
2005|50000010709|29
2005|71712300007|29
2005|71281200009|29
2005|742-1462941|28
2005|791-2061846|28
2005|50000000234|28
2005|723-3051009|28
2005|77092200000|27
2005|20001426027|27
2005|71304400008|27
2005|71578300007|27
2005|30000016916|27
2005|20002023218|27
2005|366-0351394|26
2005|70955809996|26
2005|77961700006|26
2005|20003192456|26
2005|77734800004|26
2005|77642300001|26
2005|77230000003|26
2005|30000000172|26
2005|30000031286|26
2005|30000011817|25
2005|71063100007|25
2005|775-2958981|25
2005|77811300008|25
2005|20001844818|25
2005|20002862846|25
2005|40481290152|25
2005|76473909996|25
2005|50000005866|25
2005|10000018480|24
2005|10000014206|24
2005|70000073015|24
2005|20001844993|24
2005|77844900007|24
2005|30000005702|24
2005|76444009997|24
2005|77184500000|24
2005|40000008083|24
2005|10000017927|24
2005|304-3077687|24
2005|77912100006|24
2005|10000014294|23
2005|77892400000|23
2005|777-0463885|23
2005|71744200003|23
2005|71750800001|23
2005|77438500006|23
2005|20001844845|23
2005|70041198897|23
2005|77699300007|22
2005|71844100006|22
2005|733-0964640|22
2005|786-0415227|22
2005|40000014640|22
2005|20002598088|22
2005|77257500009|22
2005|30000004239|22
2005|77792200005|22
2005|73447609992|22
2005|71394453371|22
2005|10000024171|22
2005|722-3554558|22
2005|77894400003|22
2005|363-1113916|22
2005|71834400000|21
2005|358-2598615|21
2005|775-1794257|21
2005|77469500007|21
2005|71614900001|21
2005|30000005903|21
2005|50000009331|21
2005|71108800004|21
2005|30000008800|21
2005|30000008232|21
2005|77851800005|21
2005|77107500004|21
2005|73919409997|21
2005|30000008878|21
2005|40000013964|20
2005|77971400001|20
2005|30000000110|20
2005|30000005716|20
2005|10000023248|20
2005|77056000000|20
2005|71768800000|20
2005|30000002315|20
2005|77613800008|20
2005|72308500001|19
2005|141-1704421|19
2005|40000008308|19
2005|70542409990|19
2005|752-2022827|19
2005|73000809992|19
2005|730-0237185|19
2005|50000061077|18
2005|77332300002|18
2005|77758700005|18
2005|72148900000|18
2005|50000007676|18
2005|77771600006|18
2005|30000000193|18
2005|50000007091|18
2005|72172609997|18
2005|40000000819|18
2005|71863600000|17
2005|50000024362|17
2005|30000013305|17
2005|71770800008|17
2005|77632300003|17
2005|71820300006|17
2005|20000675332|17
2005|77158700003|17
2005|20001847275|17
2005|77944000002|17
2005|73447509991|17
2005|30000020100|16
2005|733-0967630|16
2005|30000019657|16
2005|77792400007|16
2005|71632900005|16
2005|20001844265|16
2005|30000001208|16
2005|30000031027|16
2005|77935900009|16
2005|736-4327855|16
2005|40000008266|16
2005|71235100002|16
2005|30000005685|16
2005|77659900002|15
2005|156-0811711|15
2005|765-0668369|15
2005|30000009923|15
2005|736-4287467|15
2005|20001843624|15
2005|77951500006|15
2005|20002135401|15
2005|154-1943828|15
2005|30000008141|15
2005|30000025870|15
2005|71152600000|15
2005|20001445943|15
2005|713-4269937|15
2005|71813200006|15
2005|20003380888|15
2005|20002041098|14
2005|20001844283|14
2005|722-3157857|14
2005|40000003927|14
2005|30000000047|14
2005|71453800005|14
2005|40000004410|14
2005|10000006207|14
2005|705-0527593|14
2005|30000027397|14
2005|40000000670|14
2005|30000019849|14
2005|77551100008|14
2005|20001845002|14
2005|77776400006|14
2005|72003500009|13
2005|77927200007|13
2005|50000007544|13
2005|30000001696|13
